,image_link,product_name,sold,currency,price
0,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Height Increasing Shoes Men Taller Elevator 6CM Invisible Insole for Daily Men's Heighten Increased Wedding Oxfords Office Male,38,USD,32.45
1,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Maden 2023 Spring Vintage Jogging Shoes for Men Casual Low Top Running Sports Shoes Comfort Trainer Designer Breathable Sneakers,54,USD,37.48
2,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,FitVille Diabetic Shoes Men Extra Wide Walking Casual Shoes for Swollen Feet Orthopedic Adjustable with Arch Support Cushioning,61,USD,33.2
3,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Stylish studded crystal women's mary jane ballet shoes laofers casual soft leather comfortable flats,450,USD,39.24
4,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Fashion Men's Slippers PVC Soft Sole Non-slip Slides Casual Outdoor Beach Flip Flops Home Bathroom Couples Slippers New Sandal,390,USD,2.66
5,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Fashion Flip Flops Men Cloud Slippers Summer Shoes Memory Foam Pillow Slides Orthopedic Clip Toe Arch Support Beach Sandals,85,USD,11.52
6,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Lift Sneakers Man Elevator Shoes Height Increase Insole 8cm White Black Taller Shoes Men Leisure Fashion Sports Plus Size 36-44,353,USD,34.88
7,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Fashion Men Insulated 6kv Safety Shoes with Plastic Toe Work Safety Boots Breathable Conctrution Insulation Work Shoes Man Boots,51,USD,30.82
8,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,High Quality Women Men Thick Sole Shoes Casual Sneakers Leather Suede Patchwork Flat Shoe Breathable Luxury Designer Tenis,13,USD,92.95
9,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,Fashionable Mesh Women's Ballet Mary Jane Shoes Summer Walking Shoes Round Toe Buckle Flats,325,USD,37.11
